bank,rate,date
VIB,26843.0,2024-10-16
VIB,26835.0,2024-10-18
VIB,26835.0,2024-10-19
VIB,26835.0,2024-10-20
VIB,27071.0,2024-10-21
VIB,27116.0,2024-10-22
VIB,27075.0,2024-10-23
VIB,27054.0,2024-10-24
VIB,27015.0,2024-10-25
VIB,27015.0,2024-10-26
VIB,27048.0,2024-10-28
VIB,27039.0,2024-10-29
VIB,27030.0,2024-10-30
VIB,27104.0,2024-10-31
VIB,27177.0,2024-11-01
VIB,27002.0,2024-11-02
VIB,27002.0,2024-11-03
VIB,27177.0,2024-11-04
VIB,27180.0,2024-11-05
VIB,26863.0,2024-11-06
VIB,26861.0,2024-11-07
VIB,26923.0,2024-11-08
VIB,26812.0,2024-11-09
VIB,26812.0,2024-11-10
VIB,26762.0,2024-11-11
VIB,26649.0,2024-11-12
VIB,26590.0,2024-11-13
VIB,26419.0,2024-11-14
VIB,26417.0,2024-11-15
VIB,26410.0,2024-11-16
VIB,26410.0,2024-11-17
VIB,26436.0,2024-11-18
VIB,26579.0,2024-11-19
VIB,26572.0,2024-11-20
VIB,26481.0,2024-11-21
VIB,25966.0,2024-11-22
VIB,25966.0,2024-11-23
VIB,25966.0,2024-11-24
VIB,26288.0,2024-11-25
VIB,26234.0,2024-11-26
VIB,26323.0,2024-11-27
VIB,26397.0,2024-11-28
VIB,26354.0,2024-11-29
VIB,26354.0,2024-11-30
VIB,26354.0,2024-12-01
VIB,26354.0,2024-12-02
VIB,26311.0,2024-12-03
VIB,26325.0,2024-12-04
VIB,26371.0,2024-12-05
VIB,26417.0,2024-12-06
VIB,26417.0,2024-12-07
VIB,26417.0,2024-12-08
VIB,26466.0,2024-12-09
VIB,26467.0,2024-12-10
VIB,26309.0,2024-12-11
VIB,26346.0,2024-12-12
VIB,26158.0,2024-12-13
VIB,26158.0,2024-12-14
VIB,26158.0,2024-12-15
VIB,26381.0,2024-12-16
VIB,26386.0,2024-12-17
VIB,26328.0,2024-12-18
VIB,26089.0,2024-12-19
VIB,25976.0,2024-12-20
VIB,25976.0,2024-12-21
VIB,25976.0,2024-12-22
VIB,26205.0,2024-12-23
VIB,26137.0,2024-12-24
VIB,26119.0,2024-12-25
VIB,26097.0,2024-12-26
VIB,26064.0,2024-12-27
VIB,26064.0,2024-12-28
VIB,26064.0,2024-12-29
VIB,26199.0,2024-12-30
VIB,26199.0,2024-12-31
VIB,26199.0,2025-01-01
VIB,26038.0,2025-01-02
VIB,25670.0,2025-01-03
VIB,25670.0,2025-01-04
VIB,25670.0,2025-01-05
VIB,25814.0,2025-01-06
VIB,25965.0,2025-01-07
VCB,26750.01,2024-10-16
VCB,26847.94,2024-10-18
VCB,26847.94,2024-10-19
VCB,26847.94,2024-10-20
VCB,26963.93,2024-10-21
VCB,27029.75,2024-10-22
VCB,27005.51,2024-10-23
VCB,26979.87,2024-10-24
VCB,27037.25,2024-10-25
VCB,27037.25,2024-10-26
VCB,26949.85,2024-10-28
VCB,26941.55,2024-10-29
VCB,26994.96,2024-10-30
VCB,27007.69,2024-10-31
VCB,27041.53,2024-11-01
VCB,27041.53,2024-11-02
VCB,27041.53,2024-11-03
VCB,27099.54,2024-11-04
VCB,27138.17,2024-11-05
VCB,26783.69,2024-11-06
VCB,26775.06,2024-11-07
VCB,26832.44,2024-11-08
VCB,26832.44,2024-11-09
VCB,26832.44,2024-11-10
VCB,26661.29,2024-11-11
VCB,26513.93,2024-11-12
VCB,26519.89,2024-11-13
VCB,26353.87,2024-11-14
VCB,26334.26,2024-11-15
VCB,26334.26,2024-11-16
VCB,26334.26,2024-11-17
VCB,26351.3,2024-11-18
VCB,26482.1,2024-11-19
VCB,26506.5,2024-11-20
VCB,26385.0,2024-11-21
VCB,25992.4,2024-11-22
VCB,25992.4,2024-11-23
VCB,25992.4,2024-11-24
VCB,26232.7,2024-11-25
VCB,26139.8,2024-11-26
VCB,26258.91,2024-11-27
VCB,26329.37,2024-11-28
VCB,26360.15,2024-11-29
VCB,26360.15,2024-11-30
VCB,26360.15,2024-12-01
VCB,26287.37,2024-12-02
VCB,26213.93,2024-12-03
VCB,26244.27,2024-12-04
VCB,26279.26,2024-12-05
VCB,26436.3,2024-12-06
VCB,26436.3,2024-12-07
VCB,26436.3,2024-12-08
VCB,26386.3,2024-12-09
VCB,26327.9,2024-12-10
VCB,26290.6,2024-12-11
VCB,26253.9,2024-12-12
VCB,26189.2,2024-12-13
VCB,26189.2,2024-12-14
VCB,26189.2,2024-12-15
VCB,26286.7,2024-12-16
VCB,26304.26,2024-12-17
VCB,26277.7,2024-12-18
VCB,25985.3,2024-12-19
VCB,25962.9,2024-12-20
VCB,25962.9,2024-12-21
VCB,25962.9,2024-12-22
VCB,26125.6,2024-12-23
VCB,26053.0,2024-12-24
VCB,26040.0,2024-12-25
VCB,26007.2,2024-12-26
VCB,26077.8,2024-12-27
VCB,26077.8,2024-12-28
VCB,26077.8,2024-12-29
VCB,26118.1,2024-12-30
VCB,26113.3,2024-12-31
VCB,26113.3,2025-01-01
VCB,25950.8,2025-01-02
VCB,25734.9,2025-01-03
VCB,25734.9,2025-01-04
VCB,25734.9,2025-01-05
VCB,25777.0,2025-01-06
VCB,25933.8,2025-01-07
PAYPAL,26398.363,2024-10-16
PAYPAL,26529.95,2024-10-18
PAYPAL,26601.723,2024-10-19
PAYPAL,26575.225,2024-10-20
PAYPAL,26572.338,2024-10-21
PAYPAL,26571.496,2024-10-22
PAYPAL,26649.93,2024-10-23
PAYPAL,26634.57,2024-10-24
PAYPAL,26726.176,2024-10-25
PAYPAL,26624.75,2024-10-26
PAYPAL,26611.906,2024-10-28
PAYPAL,26649.639,2024-10-29
PAYPAL,26624.492,2024-10-30
PAYPAL,26665.016,2024-10-31
PAYPAL,26738.379,2024-11-01
PAYPAL,26640.799,2024-11-02
PAYPAL,26640.799,2024-11-03
PAYPAL,26640.799,2024-11-04
PAYPAL,26797.8,2024-11-05
PAYPAL,26532.883,2024-11-06
PAYPAL,26530.215,2024-11-07
PAYPAL,26519.426,2024-11-08
PAYPAL,26332.568,2024-11-09
PAYPAL,26332.568,2024-11-10
PAYPAL,26332.568,2024-11-11
PAYPAL,26199.049,2024-11-12
PAYPAL,26146.238,2024-11-13
PAYPAL,26036.123,2024-11-14
PAYPAL,26012.68,2024-11-15
PAYPAL,26009.8,2024-11-16
PAYPAL,26009.8,2024-11-17
PAYPAL,25997.258,2024-11-18
PAYPAL,26136.12,2024-11-19
PAYPAL,26146.22,2024-11-20
PAYPAL,26054.646,2024-11-21
PAYPAL,25853.332,2024-11-22
PAYPAL,25735.564,2024-11-23
PAYPAL,25735.564,2024-11-24
PAYPAL,25874.158,2024-11-25
PAYPAL,25876.629,2024-11-26
PAYPAL,25872.115,2024-11-27
PAYPAL,25966.4,2024-11-28
PAYPAL,26031.262,2024-11-29
PAYPAL,26050.766,2024-11-30
PAYPAL,26050.766,2024-12-01
PAYPAL,25949.371,2024-12-02
PAYPAL,25899.523,2024-12-03
PAYPAL,25955.28,2024-12-04
PAYPAL,25990.463,2024-12-05
PAYPAL,26130.1,2024-12-06
PAYPAL,26074.764,2024-12-07
PAYPAL,26074.764,2024-12-08
PAYPAL,25988.213,2024-12-09
PAYPAL,26046.363,2024-12-10
PAYPAL,25948.145,2024-12-11
PAYPAL,25932.268,2024-12-12
PAYPAL,25832.87,2024-12-13
PAYPAL,25928.94,2024-12-14
PAYPAL,25928.94,2024-12-15
PAYPAL,25951.414,2024-12-16
PAYPAL,25943.123,2024-12-17
PAYPAL,25981.432,2024-12-18
PAYPAL,25682.191,2024-12-19
PAYPAL,25648.006,2024-12-20
PAYPAL,25800.816,2024-12-21
PAYPAL,25800.816,2024-12-22
PAYPAL,25800.816,2024-12-23
PAYPAL,25709.611,2024-12-24
PAYPAL,25708.525,2024-12-25
PAYPAL,25703.623,2024-12-26
PAYPAL,25741.982,2024-12-27
PAYPAL,25793.834,2024-12-28
PAYPAL,25793.834,2024-12-29
PAYPAL,25798.342,2024-12-30
PAYPAL,25782.613,2024-12-31
PAYPAL,25633.205,2025-01-01
PAYPAL,25636.088,2025-01-02
PAYPAL,25408.967,2025-01-03
PAYPAL,25472.336,2025-01-04
PAYPAL,25472.336,2025-01-05
PAYPAL,25441.07,2025-01-06
PAYPAL,25649.07,2025-01-07
